University,Uni_Id,Name,Region,THE,QS,CWUR,ARWU,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,41,42,43,45,46,48,49,50,51,52,E1,E2,E3,E4,E5,E6,E7
SPPU,240,СПБПУ,StPetersburg,501-600,439,1005,,29095,74.23,73.76,74.38,21.21,6455,3155,310,2550,1344672,1553184,634.65,1,1,2,19,956,86.72,39,22,4723,1658,500,74.73,18.2,73.28,25.87,93.62,97.81,3706,12.74,22,277,129,1060,88116.1,26030.7,40618,130601,12433,7790,97.57,8219020.7,3499162.5,42.57,57.43,0,74.85,745.22,13.7,4005.37,201.27,75,3.86
VSU,45,ВГУ,Voronezh,1001+,801-1000,,,17515,66.99,79.34,65.62,23.6,1898,569,78,371,223193.8,228868,386.82,1,1,1,31,611,82,0,16,3179,1285,56,76.11,78.57,77.43,31.36,44.88,48.01,585,3.34,11,0,68,61,11078,145.2,2421,52447,5148,3352,99.25,2394011.7,1023699.6,42.76,57.24,0,67.21,165.26,3.89,1741.35,182.31,70,5.68
TSU,294,ТГУ,Tomsk,501-600,268,983,801-900,13690,74.87,79.82,67.82,21.67,2916,0,7,348,1335345.1,1345808.2,500.14,1,0,9,47,739,98.11,5,21,3927,1082,341,72.74,61.58,75.6,28.84,68.46,168.35,2184,15.95,8,43,117,1517,85046.6,61142.7,19166,67194,6989,6897,99.57,4279534.9,1066479.5,24.92,75.03,0.05,75.21,1325.49,18.35,3878.85,208.26,65,5.19
TSPU,296,ТГТУ,Tomsk,601-800,387,1399,801-900,12683,76.49,66.89,66.32,22.42,3706,0,117,1475,1619966.8,1629956.7,1296.09,1,0,2,48,887,96.05,8,14,4329,1371,165,73.52,80,82.13,43.62,74.27,102.53,3315,26.14,19,375,211,471,175516.9,38255.8,30628,91712,8531,8904,99.39,5336328,1719355.7,32.22,67.78,0,77.31,1237.26,27.34,3721.29,225.93,75,7.55
NSU,178,НГУ,Novosibirsk,501-600,231,610,401-500,7211,78.84,98.52,73.42,17.7,961,717,80,71,456543.7,458727.2,456.19,1,0,2,9,380,100,0,1,1585,488,78,46.52,69.23,79.92,32.79,62.22,151.1,409,5.67,10,20,67,1069,13568.4,88314.5,21719,108413,13037,4687,100,3187684.1,960452.9,30.13,69.87,0,78.84,514.6,5.73,3473.94,214.87,75,6.71
NSTU,177,НГТУ,Novosibirsk,1001+,801-1000,,,13577,64.29,86.55,77.93,15.56,3167,289,198,287,345973.3,382892.4,324.37,2,0,7,21,444,100,11,7,2481,1055,59,62.65,35.59,77.82,35.92,63.03,95.2,2292,16.88,7,6,30,55,7644.8,72654.7,0,59696,13790,4933,99.47,2459990.1,957733,38.93,60.96,0.11,64.67,320.74,16.88,2264.98,217.66,75,4.69
SASU,258,СГУ,Saratov,1001+,521-530,,,18169,63.11,54.39,74.96,19.61,1483,1878,53,169,280652.2,281490.7,903.84,1,1,1,14,459,90.85,9,12,2987,1018,57,84.38,36.84,80.65,26.33,39.5,72.37,934,5.14,0,0,37,132,0,720,5804,52321,5068,3451,90.09,2034218.9,601221.5,29.56,70.44,0,64.31,286.53,7.07,2074.25,182.82,75,4.31
KFU,1519,КФУ,Kazan,601-800,392,1090,801-900,30545,70.27,79.3,76.57,17.94,20105,0,114,5958,1673452.5,1687179.1,432.2,0,1,3,37,1142,86.6,10,25,5902,2143,420,73.96,43.33,88.89,39.85,62.43,79.84,3512,11.5,13,102,166,1344,15987.7,53893.5,3542,287271,23986,9348,95.27,8690898.8,4526760.6,52.09,47.69,0.23,70.61,619.07,13.45,3155.45,213.32,80,5.19
LOBU,170,Лобачевского,NizniyNovgorod,1001+,601-650,1505,,18204,65.67,61.63,68.2,19.2,5737,2000,1,1846,1054836.4,1074598.9,361.9,1,0,6,17,692,84.39,4,0,3622,1066,278,78.52,58.99,81.52,31.89,49.7,85.36,637,3.5,10,9,42,269,7155.8,18819.2,4509,41537,4878,5133,90.01,4323499.4,1831773.5,42.37,57.63,0,66.99,804.54,4.92,2999.2,183.81,80,4.86
URFU,313,УРФУ,Ekaterinburg,1001+,364,1198,701-800,32932,69.07,77.07,74.39,16.69,7374,0,640,3962,1713254.2,1725434.2,755.54,2,1,6,83,1084,99.35,33,25,6669,2248,466,67.7,40.56,78.02,30.43,59.85,54.78,2272,6.9,31,207,119,709,2893.6,6668.1,0,149172,19131,14022,99.13,8050633.6,3211025.5,39.89,60.11,0,69.55,637.28,8.09,2789.93,190.82,80,4.88
DVFU,1520,ДВФУ,Vladivostok,1001+,531-540,1804,,20852,63.92,87.18,70.05,16.19,1947,899,59,6198,508693,553763.1,269.33,2,2,3,19,527,88.43,47,15,5261,1613,143,57.41,51.75,78.18,31.68,64.13,120.27,1488,7.14,4,260,65,287,289.4,190217.5,13615,74093,11482,5292,100,10584559.1,3895131.4,36.8,63.2,0,64.26,288.97,7.6,5317.54,195.48,65,5.82
SUSU,336,ЮУГУ,Chelyabinsk,1001+,801-1000,,,27438,62.04,58.33,69.04,16.79,5635,925,51,2912,544150.2,625524.9,314.94,1,1,1,68,578,86.68,15,13,4504,1598,177,68.02,29.38,81.98,37.98,58.79,73.85,2487,9.06,11,60,89,150,19102.4,0,2536,70522,15517,7626,100,3902637.5,1691015,43.33,56.67,0,62.88,315.78,10.01,2216.21,206.1,70,3.91
SSU,337,ЮФУ,Rostov-on-Don,1001+,541-550,1489,,22997,73.05,69.4,63.76,29.79,7605,378,136,1640,1298056.8,1364091.8,424.75,2,2,14,21,1013,99.51,56,26,5159,2028,510,74.75,59.41,84.81,33.43,43.97,60.48,1580,6.87,7,125,87,0,12094.9,14729.1,28880,196570,13570,10600,89.98,4978662.1,1608064,32.3,67.7,0,73.54,605.41,8.36,2187.75,178.72,70,5.97
